MAX_ATR_I_12M,NMES_ATR15_I_U6K_24M,RTOT_DACT_DTOT_24M,VAR_PROM_ENT_ACTU_24M,NMES_UATR3_I_24M,VAR_PROM_DEUDIR_ACTU_12M,INC_SUM_ACTSH_ACTU_24M,MAX_ENT_12M,N_NOR_24M,NMES_UATR15_I_U6K_24M,FLG_CLI_DEF60
3,0,0.915235739,0.291666667,10,0.073565537,19.9670572,3,24,0,0
1,0,0.611169205,0.0,0,2.33438784,50.81172313,1,14,0,0
0,0,0.195567019,-0.291666667,0,0.117571273,11.58632091,2,12,0,0
0,0,0.603499997,0.125,0,-0.417155252,11.64048666,2,23,0,0
0,0,0.995131384,0.227272727,21,-0.47899129,8.327650594,1,22,0,0
10,0,1.0,0.541666667,1,0.932980353,65.96089286,2,21,0,0
4,0,1.0,0.0,4,-0.10861696,15.71716379,1,18,0,0
1,0,0.580700951,0.0,16,-0.12344449,18.69530448,1,23,0,0
1,0,0.980295323,-0.333333333,19,0.390378643,25.65800305,4,24,0,0
2,0,0.858751274,0.229166667,0,0.007016772,23.47307974,2,24,0,0
1,0,0.878733888,-0.125,0,0.11478778,16.81738093,4,24,0,0
8,0,1.0,-0.277777778,2,0.222169598,30.47608563,3,24,0,0
5,0,0.743954141,0.041666667,2,0.707650629,47.48442687,3,17,0,0
0,0,1.0,0.0,0,-0.010092265,22.6419645,3,24,0,0
5,0,1.0,0.0,8,-0.301167777,7.385986678,1,12,0,0
0,0,0.643911968,0.0,0,2.352437868,83.46007085,1,24,0,0
9,0,1.0,-0.395833333,0,-0.135005882,16.08980504,2,24,0,0
10,0,0.732523674,0.458333333,0,-0.11866164,21.61563939,1,21,0,0
4,0,1.0,0.0,1,-0.290127615,10.02386312,1,19,0,0
11,0,1.0,-0.402777778,0,-0.155627272,15.79666724,3,24,0,0
6,0,1.0,-0.458333333,0,-0.27503073,16.17513748,2,24,0,0
0,0,0.737771771,-0.125,16,0.102623085,16.93634646,2,24,0,0
18,1,1.0,0.0,0,0.225021611,23.50860503,1,19,5,0
1,0,0.889888142,-0.104166667,20,0.102234854,28.83893926,2,24,0,0
9,0,0.756106109,-0.375,0,4.029606695,99.3454068,2,24,0,0
25,2,0.982463388,-0.461538462,1,0.131501006,14.51297756,2,13,1,0
1,0,1.0,0.041666667,0,0.263023543,26.94269226,3,24,0,0
1,0,0.921123213,-0.4375,0,-0.060408653,26.21778927,2,24,0,0
5,0,0.465135936,0.0,4,0.3317366,32.43667972,1,24,0,0
5,0,1.0,0.0,6,-0.111305296,15.48463414,1,19,0,0
7,0,0.919341919,0.75,2,0.227561084,21.59216007,1,24,0,0
4,0,0.772694442,0.0,0,-0.17464728,19.15554869,1,20,0,0
7,0,0.902190459,0.3125,0,-0.172529024,15.44013581,3,24,0,0
0,0,0.919593666,-0.097222222,0,-0.273156111,15.09698928,3,24,0,0
1,0,1.0,0.666666667,0,-0.596078107,7.518838509,2,24,0,0
1,0,0.682296938,-0.458333333,0,-0.524145956,9.543230185,3,24,0,0
8,0,0.282989345,0.047619048,0,1.434898352,319.4143935,2,21,0,0
4,0,1.0,0.0,4,-0.364315166,17.70435565,1,24,0,0
1,0,0.175372596,0.0,0,0.304725845,10.01006059,1,8,0,0
0,0,1.0,0.0,0,0.24086582,5.204329101,2,5,0,0
3,0,0.603366555,-0.375,10,-0.326621442,25.05072268,4,24,0,0
16,2,1.0,0.0,0,0.401744339,10.21395471,1,8,0,0
7,0,0.999874284,0.541666667,3,0.725439002,51.89139747,4,24,0,0
7,0,0.766353026,0.5,1,0.754384977,46.78505094,2,24,0,0
3,0,0.960207283,-0.166666667,10,0.011918394,16.76481735,3,24,0,0
1,0,0.826613956,-0.291666667,0,-0.182973526,11.5334625,4,24,0,0
0,0,1.0,0.0,0,0.742091267,40.49100422,1,19,0,0
4,0,0.999913276,0.0,0,0.926694381,22.70908175,1,18,0,0
9,0,0.984447626,0.0,0,-0.39091748,13.58034135,2,22,0,0
1,0,0.992745088,-0.145833333,0,-0.22634733,6.870316764,2,24,0,0
6,0,0.564536389,-0.239583333,0,0.119597823,21.91868463,4,24,0,0
1,0,0.991199908,-0.138888889,0,-0.038154629,17.85397535,3,24,0,0
2,0,0.974869472,0.0,22,0.25151774,20.06906711,1,24,0,0
2,0,1.0,0.444444444,0,0.144730187,13.61569231,2,17,0,0
9,0,0.695170388,0.0,0,-0.207595342,11.73101708,2,21,0,0
2,0,0.8848459,-0.270833333,15,0.068126746,17.78834178,2,24,0,0
3,0,0.996797396,-0.138888889,2,0.278801301,22.64795092,3,24,0,0
1,0,1.0,0.0,0,0.868012862,43.9277782,1,22,0,0
4,0,0.355479265,0.291666667,0,1.494610365,51.60803373,3,24,0,0
4,0,0.47153535,0.0,3,4.835556289,130.4992063,1,20,0,0
